Year, Month, DPM_t_C_ha, RPM_t_C_ha, BIO_t_C_ha, HUM_t_C_ha, IOM_t_C_ha, SOC_t_C_ha,     deltaC
1952,     8, 0.69778110, 4.34182582, 0.52924107, 26.7515371,  3.0041000, 35.3244851,  -104.6192 
1952,     9, 0.24840211, 4.20935428, 0.55555571, 26.7681649,  3.0041000, 34.7855770,  -105.7379 
1952,    10, 0.11825291, 4.11666168, 0.55532455, 26.7593651,  3.0041000, 34.5537042,  -106.2439 
1952,    11, 0.08753543, 4.07968223, 0.55303357, 26.7533968,  3.0041000, 34.4777480,  -106.4191 
1952,    12, 0.07014467, 4.05266458, 0.55086208, 26.7484205,  3.0041000, 34.4261918,  -106.5419 
1953,     1, 0.05417094, 4.02136796, 0.54795823, 26.7421264,  3.0041000, 34.3697236,  -106.6763 
1953,     2, 0.04009945, 3.98524453, 0.54420408, 26.7342808,  3.0041000, 34.3079289,  -106.8235 
1953,     3, 0.02630679, 3.93516420, 0.53850038, 26.7225844,  3.0041000, 34.2266558,  -107.0157 
1953,     4, 0.01402607, 3.86161435, 0.52947494, 26.7041006,  3.0041000, 34.1133160,  -107.2826 
1953,     5, 0.01184093, 3.84204458, 0.52693034, 26.6989788,  3.0041000, 34.0838947,  -107.3592 
1953,     6, 0.01002751, 3.82293235, 0.52441828, 26.6939043,  3.0041000, 34.0553825,  -107.4338 
1953,     7, 0.00821955, 3.80019833, 0.52140579, 26.6877810,  3.0041000, 34.0217047,  -107.5206 
1953,     8, 0.00665861, 3.77626386, 0.51820912, 26.6812387,  3.0041000, 33.9864703,  -107.6111 
1953,     9, 0.80430110, 4.31197779, 0.51566321, 26.6760027,  3.0041000, 35.3120448,  -104.8986 
1953,    10, 0.34283687, 4.20306959, 0.54609441, 26.6993983,  3.0041000, 34.7954991,  -105.9694 
1953,    11, 0.17139120, 4.11655205, 0.55075429, 26.6965456,  3.0041000, 34.5393431,  -106.5244 
1953,    12, 0.09854079, 4.04876375, 0.54829470, 26.6873142,  3.0041000, 34.3870135,  -106.8660 
1954,     1, 0.08604582, 4.03232797, 0.54714832, 26.6844667,  3.0041000, 34.3540888,  -106.9479 
1954,     2, 0.07528776, 4.01620329, 0.54588079, 26.6814887,  3.0041000, 34.3229605,  -107.0261 
1954,     3, 0.05725533, 3.98334969, 0.54295939, 26.6749285,  3.0041000, 34.2625930,  -107.1699 
1954,     4, 0.05347318, 3.97519131, 0.54215780, 26.6732103,  3.0041000, 34.2481326,  -107.2115 
1954,     5, 0.04719021, 3.96031301, 0.54064347, 26.6699943,  3.0041000, 34.2222410,  -107.2788 
1954,     6, 0.03999651, 3.94071128, 0.53855182, 26.6656086,  3.0041000, 34.1889682,  -107.3630 
1954,     7, 0.03337449, 3.91937118, 0.53616424, 26.6606620,  3.0041000, 34.1536719,  -107.4520 
1954,     8, 1.24847029, 4.67860924, 0.52453770, 26.6361773,  3.0041000, 36.0918946,  -103.3014 
1954,     9, 0.33710132, 4.49840177, 0.59081741, 26.6953019,  3.0041000, 35.1257224,  -105.3305 
1954,    10, 0.10601267, 4.34496378, 0.59197770, 26.6859550,  3.0041000, 34.7330092,  -106.1957 
1954,    11, 0.07592795, 4.30167384, 0.58855782, 26.6792735,  3.0041000, 34.6495331,  -106.3899 
1954,    12, 0.05544649, 4.26129548, 0.58464207, 26.6720954,  3.0041000, 34.5775794,  -106.5594 
1955,     1, 0.04862798, 4.24455353, 0.58284267, 26.6689024,  3.0041000, 34.5490265,  -106.6325 
1955,     2, 0.04423616, 4.23251739, 0.58149913, 26.6665380,  3.0041000, 34.5288907,  -106.6868 
1955,     3, 0.03814491, 4.21374768, 0.57933967, 26.6627450,  3.0041000, 34.4980773,  -106.7652 
1955,     4, 0.21290050, 4.32511657, 0.57785784, 26.6601569,  3.0041000, 34.7801318,  -105.9784 
1955,     5, 0.30404784, 4.38113630, 0.57658119, 26.6537629,  3.0041000, 34.9196282,  -105.5475 
1955,     6, 0.39514042, 4.46075694, 0.57862680, 26.6530822,  3.0041000, 35.0917064,  -105.0538 
1955,     7, 0.49296269, 4.55421641, 0.58198244, 26.6550164,  3.0041000, 35.2882779,  -104.5110 
1955,     8, 0.56529315, 4.64510474, 0.58742726, 26.6593342,  3.0041000, 35.4612594,  -104.0359 
1955,     9, 1.36699955, 5.24025505, 0.59258558, 26.6639921,  3.0041000, 36.8679323,  -100.4409 
1955,    10, 0.85356680, 5.16673871, 0.63183849, 26.7062585,  3.0041000, 36.3625025,  -101.6645 
1955,    11, 0.61888452, 5.11714428, 0.64723191, 26.7227352,  3.0041000, 36.1100959,  -102.2857 
